date, pm25, pm10, o3, no2, so2, co
2025/1/1, 90, 12, 29, 11, 1, 
2025/1/2, 29, 12, 24, 9, 1, 
2025/1/3, 35, 14, 26, 12, 1, 
2025/1/4, 36, 29, 21, 10, 1, 
2025/1/5, 89, 30, 6, 11, 1, 
2025/1/6, 77, 52, 20, 17, 1, 
2025/1/7, 110, 16, 19, 18, 1, 
2025/1/8, 37, 21, 19, 17, 1, 
2025/1/9, 68, 8, 22, 10, 1, 
2025/1/10, 22, 9, 21, 6, 1, 
2025/1/11, 27, 6, 23, 5, 1, 
2025/1/12, 22, 12, 19, 7, , 
2025/1/13, 36, 35, 8, 18, 3, 
2025/1/14, 100, 23, 16, 14, 1, 
2025/1/15, 66, 21, 11, 15, 1, 
2025/1/16, 67, 18, 15, 11, 1, 
2025/1/17, 62, 34, 12, 14, 3, 
2025/1/18, 100, 54, 5, 16, 2, 
2025/1/19, 151, 64, 4, 19, 2, 
2025/1/20, 164, 61, , 16, 2, 
2025/1/21, 140, , , , , 
2024/10/1, 44, 18, 3, 8, , 
2024/10/2, 56, 15, 11, 10, , 
2024/10/3, 54, 17, 15, 5, , 
2024/10/4, 54, 6, 13, 2, , 
2024/10/5, 24, 6, 9, 2, , 
2024/10/6, 22, 21, 17, 8, , 
2024/10/7, 51, 16, 21, 7, , 
2024/10/8, 40, 25, 16, 12, 1, 
2024/10/9, 54, 15, 21, 9, 1, 
2024/10/10, 35, 11, 20, 10, , 
2024/10/11, 25, 16, 25, 4, , 
2024/10/12, 38, 14, 22, 8, 1, 
2024/10/13, 45, 14, 24, 9, , 
2024/10/14, 24, 26, 13, 14, , 
2024/10/15, 61, 25, 20, 7, 1, 
2024/10/16, 79, 14, 21, 8, 1, 
2024/10/17, 47, 15, 21, 8, 3, 
2024/10/18, 49, 17, 22, 8, 1, 
2024/10/19, 62, 26, 20, 10, 1, 
2024/10/20, 78, 36, 7, 17, , 
2024/10/21, 85, 37, 15, 15, 1, 
2024/10/22, 105, 27, 24, 12, , 
2024/10/23, 61, 28, 14, 9, , 
2024/10/24, 86, 34, 5, 13, 1, 
2024/10/25, 97, 41, 14, 9, 2, 
2024/10/26, 110, 36, 21, 14, 1, 
2024/10/27, 91, 30, 16, 15, , 
2024/10/28, 77, 29, 11, 17, 1, 
2024/10/29, 73, 30, 9, 15, 1, 
2024/10/30, 77, 18, 16, 12, 1, 
2024/10/31, 55, 15, 20, 7, 1, 
2024/11/1, 48, 17, 26, 7, , 
2024/11/2, 45, 26, 14, 13, 1, 
2024/11/3, 75, 22, 11, 13, 1, 
2024/11/4, 69, 25, 7, 10, , 
2024/11/5, 77, 27, 4, 14, , 
2024/11/6, 89, 54, 2, 14, 1, 
2024/11/7, 144, 35, 6, 9, 1, 
2024/11/8, 98, 29, 9, 7, , 
2024/11/9, 78, 29, 11, 5, , 
2024/11/10, 84, 42, 7, 11, 3, 
2024/11/11, 121, 26, 8, 9, , 
2024/11/12, 74, 22, 7, 12, 1, 
2024/11/13, 64, 19, 12, 12, 2, 
2024/11/14, 56, 19, 8, 13, 1, 
2024/11/15, 61, 34, 12, 14, 1, 
2024/11/16, 76, 35, 14, 8, 1, 
2024/11/17, 96, 11, 14, 13, 1, 
2024/11/18, 35, 19, 18, 14, 1, 
2024/11/19, 46, 13, 19, 13, 1, 
2024/11/20, 35, 14, 21, 13, 1, 
2024/11/21, 37, 20, 16, 15, 1, 
2024/11/22, 58, 16, 19, 10, 1, 
2024/11/23, 49, 19, 18, 16, , 
2024/11/24, 50, 30, 4, 13, 2, 
2024/11/25, 85, 36, 12, 12, 1, 
2024/11/26, 101, 28, 3, 14, 1, 
2024/11/27, 79, 23, 20, 13, 1, 
2024/11/28, 64, 10, 15, 8, , 
2024/11/29, 31, 21, 7, 5, , 
2024/11/30, 63, 23, 5, 6, , 
2024/12/1, 75, 29, , 10, , 
2024/12/2, 74, 46, 4, 17, 1, 
