date, pm25, pm10, o3, no2, so2, co
2025/1/1, 97, 9, 29, 6, 1, 
2025/1/2, 36, 18, 24, 9, 2, 
2025/1/3, 41, 14, 26, 11, 1, 
2025/1/4, 40, 28, 21, 14, 1, 
2025/1/5, 105, 31, 6, 17, 1, 
2025/1/6, 81, 39, 20, 20, 2, 
2025/1/7, 113, 16, 19, 18, , 
2025/1/8, 38, 21, 19, 15, , 
2025/1/9, 67, 8, 22, 7, , 
2025/1/10, 21, 9, 21, 4, 4, 
2025/1/11, 33, 11, 23, 4, 1, 
2025/1/12, 25, 22, 19, 9, 1, 
2025/1/13, 48, 56, 8, 20, 5, 
2025/1/14, 122, 25, 16, 14, 3, 
2025/1/15, 78, 28, 11, 14, 2, 
2025/1/16, 78, 22, 15, 9, 3, 
2025/1/17, 69, 47, 12, 17, 6, 
2025/1/18, 122, 63, 5, 20, 4, 
2025/1/19, 156, 73, 4, 20, 3, 
2025/1/20, 169, 60, 1, 17, 2, 
2025/1/21, 158, , , , , 
2024/10/1, 34, 23, 3, 12, , 
2024/10/2, 51, 16, 11, 10, , 
2024/10/3, 47, 21, 15, 9, , 
2024/10/4, 52, 20, 13, 3, , 
2024/10/5, 20, 6, 9, 3, , 
2024/10/6, 20, 17, 17, 9, , 
2024/10/7, 48, 15, 21, 9, , 
2024/10/8, 35, 27, 16, 13, 1, 
2024/10/9, 46, 19, 21, 8, 1, 
2024/10/10, 32, 25, 20, 11, , 
2024/10/11, 25, 24, 25, 8, , 
2024/10/12, 34, 24, 22, 8, , 
2024/10/13, 41, 19, 24, 8, , 
2024/10/14, 23, 30, 13, 14, 1, 
2024/10/15, 60, 31, 20, 10, 1, 
2024/10/16, 61, 20, 21, 7, 1, 
2024/10/17, 44, 22, 21, 9, 1, 
2024/10/18, 47, 24, 22, 8, 1, 
2024/10/19, 53, 40, 20, 11, 1, 
2024/10/20, 68, 44, 7, 21, 1, 
2024/10/21, 68, 52, 15, 17, 1, 
2024/10/22, 79, 28, 24, 12, 1, 
2024/10/23, 56, 37, 14, 11, 1, 
2024/10/24, 75, 36, 5, 15, 1, 
2024/10/25, 88, 50, 14, 14, 1, 
2024/10/26, 93, 47, 21, 12, 2, 
2024/10/27, 84, 34, 16, 13, 2, 
2024/10/28, 68, 33, 11, 16, 2, 
2024/10/29, 71, 35, 9, 12, 2, 
2024/10/30, 76, 19, 16, 8, 2, 
2024/10/31, 51, 20, 20, 7, 2, 
2024/11/1, 47, 20, 26, 8, 1, 
2024/11/2, 45, 32, 14, 14, 1, 
2024/11/3, 82, 31, 11, 12, 1, 
2024/11/4, 72, 26, 7, 10, 1, 
2024/11/5, 77, 36, 4, 18, 1, 
2024/11/6, 71, 63, 2, 19, 2, 
2024/11/7, 137, 43, 6, 10, 2, 
2024/11/8, 95, 25, 9, 5, 1, 
2024/11/9, 74, 31, 11, 3, 1, 
2024/11/10, 83, 48, 7, 10, 1, 
2024/11/11, 115, 32, 8, 13, 2, 
2024/11/12, 81, 28, 7, 11, 2, 
2024/11/13, 66, 22, 12, 11, 2, 
2024/11/14, 55, 24, 8, 12, 1, 
2024/11/15, 64, 37, 12, 15, 2, 
