date, pm25, pm10, o3, no2, so2, co
2025/1/1, 90, 11, , 11, 1, 
2025/1/2, 29, 10, , 9, 1, 
2025/1/3, 35, 12, , 12, 1, 
2025/1/4, 36, 33, , 10, 1, 
2025/1/5, 89, 26, , 11, 1, 
2025/1/6, 77, 40, , 17, 1, 
2025/1/7, 110, 12, , 18, 1, 
2025/1/8, 37, 27, , 17, 1, 
2025/1/9, 68, 7, , 10, 1, 
2025/1/10, 22, 8, , 6, 1, 
2025/1/11, 27, 6, , 5, 1, 
2025/1/12, 22, 10, , 7, , 
2025/1/13, 36, 39, , 18, 3, 
2025/1/14, 100, 22, , 14, 1, 
2025/1/15, 66, 22, , 15, 1, 
2025/1/16, 67, 19, , 11, 1, 
2025/1/17, 62, 38, , 14, 3, 
2025/1/18, 100, 57, , 16, 2, 
2025/1/19, 151, 75, , 19, 2, 
2025/1/20, 164, 53, , 16, 2, 
2025/1/21, 140, , , , , 
2024/10/1, 44, 23, , 8, , 
2024/10/2, 56, 16, , 10, , 
2024/10/3, 54, 17, , 5, , 
2024/10/4, 54, 7, , 2, , 
2024/10/5, 24, 7, , 1, , 
2024/10/6, 26, 22, , 8, , 
2024/10/7, 51, 20, , 7, , 
2024/10/8, 40, 24, , 12, 1, 
2024/10/9, 54, 15, , 9, 1, 
2024/10/10, 35, 9, , 10, , 
2024/10/11, 25, 13, , 4, , 
2024/10/12, 38, 15, , 8, 1, 
2024/10/13, 45, 10, , 9, , 
2024/10/14, 24, 24, , 14, , 
2024/10/15, 61, 31, , 7, 1, 
2024/10/16, 79, 16, , 8, 1, 
2024/10/17, 47, 20, , 8, 3, 
2024/10/18, 49, 22, , 8, 1, 
2024/10/19, 62, 28, , 10, 1, 
2024/10/20, 78, 40, , 17, , 
2024/10/21, 85, 46, , 15, 1, 
2024/10/22, 105, 29, , 12, , 
2024/10/23, 61, 37, , 9, , 
2024/10/24, 86, 43, , 13, 1, 
2024/10/25, 97, 45, , 9, 2, 
2024/10/26, 110, 38, , 14, 1, 
2024/10/27, 91, 36, , 15, , 
2024/10/28, 77, 30, , 17, 1, 
2024/10/29, 73, 30, , 15, 1, 
2024/10/30, 77, 18, , 12, 1, 
2024/10/31, 55, 15, , 7, 1, 
2024/11/1, 48, 15, , 7, , 
2024/11/2, 45, 26, , 13, 1, 
2024/11/3, 75, 23, , 13, 1, 
2024/11/4, 69, 26, , 10, , 
2024/11/5, 77, 36, , 14, , 
2024/11/6, 89, 58, , 14, 1, 
2024/11/7, 144, 36, , 9, 1, 
2024/11/8, 98, 25, , 7, , 
2024/11/9, 78, 27, , 5, , 
2024/11/10, 84, 43, , 11, 3, 
2024/11/11, 121, 24, , 9, , 
2024/11/12, 74, 20, , 12, 1, 
2024/11/13, 64, 17, , 12, 2, 
2024/11/14, 56, 20, , 13, 1, 
2024/11/15, 61, 30, , 14, 1, 
2024/11/16, 76, 36, , 8, 1, 
2024/11/17, 96, 10, , 13, 1, 
2024/11/18, 35, 18, , 14, 1, 
2024/11/19, 46, 12, , 13, 1, 
2024/11/20, 35, 12, , 13, 1, 
2024/11/21, 37, 20, , 15, 1, 
2024/11/22, 58, 16, , 10, 1, 
2024/11/23, 49, 19, , 16, , 
2024/11/24, 50, 41, , 13, 2, 
2024/11/25, 85, 40, , 12, 1, 
2024/11/26, 101, 33, , 14, 1, 
2024/11/27, 79, 25, , 13, 1, 
2024/11/28, 64, 9, , 8, , 
2024/11/29, 31, 20, , 5, , 
2024/11/30, 63, 26, , 6, , 
2024/12/1, 75, 26, , 10, , 
2024/12/2, 74, 47, , 17, 1, 
2024/12/3, 109, 40, , 14, 1, 
2024/12/4, 99, 46, , 15, 1, 
2024/12/5, 113, 28, , 13, 1, 
2024/12/6, 77, 17, , 9, 1, 
2024/12/7, 57, 29, , 7, 1, 
2024/12/8, 82, 15, , 4, , 
2024/12/9, 46, 8, , 5, , 
2024/12/10, 30, 17, , 12, , 
2024/12/11, 49, 22, , 13, 2, 
2024/12/12, 67, 29, , 13, 1, 
2024/12/13, 78, 31, , 11, 1, 
2024/12/14, 82, 12, , 6, , 
2024/12/15, 45, 5, , 5, 1, 
2024/12/16, 16, 8, , 7, 1, 
2024/12/17, 23, 22, , 17, 1, 
2024/12/18, 47, 52, , 20, 1, 
2024/12/19, 81, 14, , 14, 1, 
2024/12/20, 40, 19, , 12, 1, 
2024/12/21, 51, 9, , 11, 1, 
2024/12/22, 26, 13, , 12, 1, 
2024/12/23, 42, 16, , 6, 1, 
2024/12/24, 50, 13, , 5, , 
2024/12/25, 38, 38, , 7, , 
2024/12/26, 101, 42, , 13, , 
2024/12/27, 109, 39, , 13, 1, 
2024/12/28, 108, 47, , 13, 1, 
2024/12/29, 128, , , , , 
2024/7/1, 39, 11, , 7, , 
2024/7/2, 30, 12, , 8, 1, 
2024/7/3, 36, 10, , 7, , 
2024/7/4, 28, 7, , 10, 1, 
2024/7/5, 20, 15, , 6, 1, 
2024/7/6, 40, 10, , 3, , 
2024/7/7, 27, 17, , 4, , 
2024/7/8, 48, 26, , 5, , 
2024/7/9, 65, 31, , 7, , 
2024/7/10, 69, 27, , 13, , 
2024/7/11, 62, 25, , 5, 1, 
2024/7/12, 61, 13, , 4, , 
2024/7/13, 41, 12, , 3, 1, 
2024/7/14, 40, 18, , 6, 1, 
2024/7/15, 55, 26, , 9, 1, 
2024/7/16, 59, 19, , 7, 1, 
2024/7/17, 49, 12, , 6, 1, 
2024/7/18, 26, 16, , 4, 1, 
